SA_UUID, Interval Timestamp, Delivered From Grid Value (Wh), Back To Grid Value (Wh)
6745359, Fri Oct 22 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 2436, 0
6745359, Fri Oct 22 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1310, 0
6745359, Fri Oct 22 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 1285, 0
6745359, Fri Oct 22 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 1354, 0
6745359, Fri Oct 22 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 1313, 0
6745359, Fri Oct 22 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 1317, 0
6745359, Fri Oct 22 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 1362, 0
6745359, Fri Oct 22 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 1521, 0
6745359, Fri Oct 22 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 1679, 0
6745359, Fri Oct 22 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 1296, 0
6745359, Fri Oct 22 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 1141, 15
6745359, Fri Oct 22 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 648, 145
6745359, Fri Oct 22 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 828, 27
6745359, Fri Oct 22 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 1080, 0
6745359, Fri Oct 22 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 118, 217
6745359, Fri Oct 22 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 1, 590
6745359, Fri Oct 22 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 109, 108
6745359, Fri Oct 22 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 308, 0
6745359, Fri Oct 22 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 646, 0
6745359, Fri Oct 22 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 976, 0
6745359, Fri Oct 22 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1741, 0
6745359, Fri Oct 22 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1623, 0
6745359, Fri Oct 22 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 1671, 0
6745359, Fri Oct 22 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 1418, 0
6745359, Sat Oct 23 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 2375, 0
6745359, Sat Oct 23 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1325, 0
6745359, Sat Oct 23 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 1305, 0
6745359, Sat Oct 23 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 1284, 0
6745359, Sat Oct 23 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 1333, 0
6745359, Sat Oct 23 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 1271, 0
6745359, Sat Oct 23 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 1279, 0
6745359, Sat Oct 23 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 1494, 0
6745359, Sat Oct 23 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 1205, 0
6745359, Sat Oct 23 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 717, 20
6745359, Sat Oct 23 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 408, 83
6745359, Sat Oct 23 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 792, 33
6745359, Sat Oct 23 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 1591, 0
6745359, Sat Oct 23 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 1836, 0
6745359, Sat Oct 23 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 918, 2
6745359, Sat Oct 23 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 884, 2
6745359, Sat Oct 23 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 1119, 0
6745359, Sat Oct 23 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 1353, 0
6745359, Sat Oct 23 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 916, 0
6745359, Sat Oct 23 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 762, 0
6745359, Sat Oct 23 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 999, 0
6745359, Sat Oct 23 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1049, 0
6745359, Sat Oct 23 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 2060, 0
6745359, Sat Oct 23 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 1695, 0
6745359, Sun Oct 24 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 2443, 0
6745359, Sun Oct 24 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1293, 0
6745359, Sun Oct 24 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 1336, 0
6745359, Sun Oct 24 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 1342, 0
6745359, Sun Oct 24 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 1308, 0
6745359, Sun Oct 24 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 1301, 0
